seller_id,seller_total_txns,seller_disputed_txns,seller_fraud_ratio,buyer_ratings,is_safe_seller
0xd3503fb1e8c3ef592dc6de29a47a0e0dbebd321b,318,81,0.255,4.61,0
0xf9266d430a292c3ccb6917578e8034d66ce26f11,26,97,3.731,3.52,0
0x87b536211103721c4b8ca9b5f7abdbe7a841372c,257,74,0.288,4.54,0
0x14ae3da57e7bcc1456a889d6bb04619c394f1220,752,75,0.1,3.88,1
0xb09c4aca779d0f50da3741b31dd59d9266afb39c,861,48,0.056,2.65,0
0x07c3939a3ebc17a6de2abea02f482d767d80d76e,565,78,0.138,4.11,1
0xcab7e76920b3a3b2e754fbd91f3038f9ad91a86e,479,56,0.117,3.56,1
0xc2ac5b84fa11d335bce7a4ca29aef75d8596cdc7,63,94,1.492,4,0
0xb730004a2478f9c48620239ec1a9a7e8d6c6e6c8,515,92,0.179,5,1
0x07b861a04eacb8487bb193cc3fcad6173afad4eb,686,25,0.036,4.16,1
0x0c9250019fd45cec8d8e2f2821ec31760be15b10,480,17,0.035,3.29,1
0xa36971140a37ba5a232c2732d6125939b9ad01af,704,95,0.135,4.68,1
0x51aa2603d7aa8ad7c72a0070f9f5af051099fc5e,980,85,0.087,4.25,1
0xd3b43c48c3e14c40da3d98ce65493fa4152ac471,787,37,0.047,3.21,1
0xdebfabeff94016e22aa3d07996783af9da827e1d,194,80,0.412,2.88,0
0x46d7b6d4ba8f1bac60ab36bccbd1f04a9a7107c3,962,86,0.089,3.32,1
0x10a4272e96208005681bff2dd40053817510f630,691,87,0.126,4.59,1
0x9acf189843c85d16d7d12f0a264dbab5629b67ae,962,49,0.051,3.79,1
0x0af1aad98e9367b492f183b5fb13628943dd990b,567,7,0.012,4.06,1
0x25c120c727ee6daf8da55e1dce188ca646dd8f86,880,40,0.045,3.06,1
0x8f4b5c0942546d2cbfa1c72b6f4c37ac6dbe9eb3,571,5,0.009,4.6,1
0x2959102b84a1cb7302b572f214fd0f21549bf1a5,248,68,0.274,2.59,0
0xdcb640292c7c4ad71f56711ceb3767ac231111c2,836,43,0.051,3.54,1
0x3a80e9a77e3f7f96ece3e2a3ccae5ef6415e3070,509,63,0.124,4.29,1
0xdf50952a70676ab7f3b4071df28c3c369fcbb9e0,135,28,0.207,3.21,0
0x689f4f8a5e8bfa7c273d5268d84ee78badf28fcd,489,27,0.055,4.43,1
0x1e47f1c826ffdab6ddc9a9c4fb810aa22ba369ec,823,10,0.012,3.39,1
0xd795fccde83c1d4125d7cdb7217f7138d3e84255,651,64,0.098,3.14,1
0xdc0302b127c11ea484a1bc2210c824a09846255d,25,18,0.72,4.9,0
0xf10675bd0f4dde55ff26e54366e79336ed4e938f,845,8,0.009,4.11,1
0xed18b063342b85cf02b710f925db12b6a8969623,171,26,0.152,4.36,1
0xe81d8135d56ecdfdb8710c0466577ab75443e5fc,278,33,0.119,4.71,1
0xd5c1bcd489fc2158c5c3833c9a54d85bf8e25840,392,43,0.11,2.17,0
0x88cef3ceff79feae5b6c39870378e365a321faa4,605,67,0.111,4.44,1
0xeda6015a4827f63d3b5dac9e40284601cd34770f,320,99,0.309,3.47,0
0x66dc4e3d881577f4a65e665236b2d58cc5ebd684,18,81,4.5,3.56,0
0xce0e7fce25b1f384c7578584b2aaa74d23868c03,246,14,0.057,4.31,1
0x357ef6014f306a93cbf7173c5b970b3d7c4ee228,781,50,0.064,3.75,1
0x3fb567c27889ad8d7dd1b2261064ebd4b860cf23,350,12,0.034,4.42,1
0x367c8a22350a3666e7cd47538a4a594f3e893983,569,82,0.144,3.97,1
0x4fd855dc99ff6159599b52c4da2e006b1aeae9e0,902,48,0.053,4.12,1
0xec6c900635d7a2648b1aa9925bc1b1ad5795e1cb,344,69,0.201,3.66,0
0x2b279299ccbcf084b5bf70bf019afe259e2f18c1,96,55,0.573,3.25,0
0x5bbb7d213246ea09b76af0a0130f7793261f51e6,371,75,0.202,3.48,0
0x5a0d4bebf19412f32638599179ed33ea40c53f04,960,50,0.052,3.93,1
0x7173e591e1fc5309c7800797e3a94c2f06ba1e04,459,36,0.078,5,1
0x5f788069c569881c5d17da6a2fd847495c00b5c6,432,16,0.037,5,1
0x8c540af7643c8a0ef93eab7908981d604f634a98,513,57,0.111,3.54,1
0x50daa45a6e69581918167a3a1da08d9e169dd86c,780,86,0.11,4.04,1
0xea2596a28cff31d2ccd343a01a6ac8745b57f74e,947,89,0.094,3.8,1
0x15dbf5dc6cd350a11d79b0ef66b2a33481ae907c,39,28,0.718,4.09,0
0x3c4240b868521bd8b78435c1ecc8d0660629fe51,210,32,0.152,4.18,1
0x29be36f25d5f9a22a72ddd5e1eebd2a0d4388c8d,85,59,0.694,4.37,0
0x2a6ac2b4944acda3684543611d173c8e29969ef4,936,90,0.096,1.97,0
0x36cc1f78fd34a500c0416a6b56da1074e873e251,566,88,0.155,4.26,1
0xe473a6d2b69ebd3c09bdb966ae39deb595928a36,876,54,0.062,3.72,1
0xba68be21a65ea6ed0693cfec7bfadc84bbf68a9e,392,9,0.023,3.51,1
0xa7bea29cc612b2a97c99d9fa5d0d3666ec1cf9e2,6,46,7.667,4.56,0
0x00535d0b9c003780a5f435a0b6594483e5225845,394,22,0.056,5,1
0xbd50c45ac792e4ba42824ccf6530d28442100acb,570,84,0.147,4.48,1
0x2a66688d6e3ba7a09461eab2031822a7dc6ee140,110,20,0.182,3.64,1
0x077dff7222fc3d24d2f87f276db7b4c8783b132b,776,12,0.015,3.25,1
0x509ba6f3c740b661dc2bbe29ff30ab87dff68683,826,32,0.039,1.9,0
0xe7aa3fe82d75bad02d5061ab951f8cfc71cae446,481,23,0.048,4.13,1
0x43490f1de589d19c50c6832945fdad0af2c4bfa1,707,10,0.014,4.41,1
0x807d9f51eb7bc85a14ad7a4bda475e069c3ebc2b,406,16,0.039,3.93,1
0x8a88b53d6fa950fa95cee2597024b66b20fff310,734,67,0.091,4.65,1
0x6b52210fd4983e7c56f8c92394f9b9c80744d60e,560,46,0.082,3.08,1
0xc3ab3c04e57e37f1f1dff0bd04615b02b12df25f,166,24,0.145,3.88,1
0x585d0d2b248896a7081a6880dcc7ab38988aeae3,206,93,0.451,3.82,0
0x29d29fb2640fc1e65d54b657f445f31b98658ff3,962,72,0.075,3.92,1
0x6f6f0a64c5a7fb0764f930e45689c4df2c643074,274,20,0.073,4.82,1
0x32590c494f11ed4030991a8c9d297c757647fea8,867,83,0.096,3.93,1
0xdd822f0c9140f9d4713503ce6ffe12d032bd7cfe,820,82,0.1,3.79,1
0xbd7e0bfd31e9f1cac18c03ff6e94d955e298371d,275,82,0.298,3.34,0
0x9943576a51d6ad5d03180f90b96c2af4e98f2316,460,11,0.024,4.93,1
0xe09180d5f57b55ec6c93b0ac1af6553a348691d4,466,36,0.077,3,1
0x0407a1f824165fad97ebaf6ef6ea790dfb2c2bcd,731,41,0.056,3.61,1
0xbb3cd31e16d81c58bf40a5fa415e0335bb0e504a,256,16,0.062,5,1
0x8abf5b0c23df7932fa7d293e9eebb374961ba553,706,47,0.067,4.33,1
0x0a0e1b522feca6eadd447cc6182903bfa59ec7a3,300,27,0.09,3.99,1
0x3a8fb57c23fdc355f81607fa88e300e81b14b04a,729,40,0.055,4.02,1
0xae1e1f6b91c469ee3ea280160155a5fb30b79d04,724,98,0.135,3.34,1
0x989aaf90462eb88f656dc5dde0dda7ecbd633467,753,46,0.061,3.95,1
0x0e4863b74c77da761a31edf8b503760b5cf0ef82,342,17,0.05,3.76,1
0xe6dc064a1d0c7755014a14dc1e349963bcabf142,883,77,0.087,4.13,1
0xd44e23bffb69ada832119e92774a8db4361becef,57,98,1.719,2.95,0
0x426ba119267453d6e112a9290bc7bb0691168e7e,796,70,0.088,4.28,1
0x1c600e01ce31c5f9e60f68f5167bd39ffc49dd52,926,12,0.013,4.71,1
0x9ce6e3d392a652d42becd1d20dd0e132dd89ac5f,221,81,0.367,3.86,0
0xe88827aef350eb8610386e6ac3a1e588968eb2ca,768,12,0.016,4.45,1
0x66aaa4a4ed073604e3d5445ba7adbcc86cc4cc2f,192,99,0.516,4.22,0
0x5c2e23ff575f2f6e17595bf577750e2311843a2e,384,30,0.078,3.57,1
0x04684223bf1a0bcd0155dce15d5625fd3cf7b02d,497,1,0.002,3.26,1
0xc6ebabfef01f9b6d4a77057741cb55b498a46afd,45,15,0.333,3.36,0
0x6e5354581babf98f8b2e1dec6130b4b1466e8317,161,8,0.05,4.21,1
0xe6ee355496d85e454895fa2a9397ad2a471c7f56,19,72,3.789,3.96,0
0x329838bf725203da582e32a5663603b809b94384,817,37,0.045,4.89,1
0x36b88901fc1b886a4acc1c1ab37e83d22a824c67,69,74,1.072,4.55,0
0x2721192e9553b0c411e1d762b91883056fdcee08,861,53,0.062,4.55,1
0x3ef4eee11f6ae3a417d6b5d082497291d31857df,843,55,0.065,4.18,1
0xf3ecda0b7eb36a1418f83876055fa38a2cecbea5,525,85,0.162,3.33,1
0xf11be992af65ce9a57a3bda51c05c517d0644861,348,96,0.276,4.23,0
0xf7d3bec11d0571e8f367652e7c4139340745f387,133,99,0.744,4.04,0
0xf9cf536f27a02355eb7b5501d038a854390c26d2,652,86,0.132,3.2,1
0x4fe57e48ec1c6fdb08bac5fbf450e9fbe75fa65d,476,44,0.092,4.85,1
0xd44be730faa5821231cf812e07adec251455988e,67,33,0.493,4.77,0
0x73703e4f5120c8549a66ebef3cb10ffb96ed2fee,143,8,0.056,3.2,1
0x2e89baec43315117e73a7b239c32af87c7aca821,503,87,0.173,3.55,1
0x2f002128971a763ee432364b887d0ce746553db5,597,7,0.012,3.62,1
0xf87d7d5fb4f68f3c9257b5b72d5f9f94d9e6cc18,396,6,0.015,4.43,1
0xbd1a0da0d03ac24f0086b40c09ab46c9606363e3,679,35,0.052,4.35,1
0x0bc10878e1168a82b57503d80706c024cb00df58,423,17,0.04,4.03,1
0x711df7e8035f4879b368e037ebaac861aa78ff69,293,2,0.007,4.19,1
0xa6a0b2e94f524e30b028ec7c9dbf5e0667f6d576,383,27,0.07,3.1,1
0xd146d720bb0149cc3f44148fdc2a5e723a5a47bd,777,69,0.089,4.27,1
0x257d971ac9623a26eeba86243c5d8795c19058f0,494,43,0.087,3.93,1
0x8e0e2694446183b9fb239d67b2f88f308a2a6691,235,20,0.085,3.52,1
0x238c517b36e75f0941bd114fbf14886fedc47a40,45,27,0.6,2.93,0
0x5d202326d285ae11e1ac33a0779743b88270aa46,32,53,1.656,4.02,0
0x7cec2d83bddc5f2711a4b55194e76aa3c8500cd7,139,53,0.381,4.25,0
0xdfbd80e724eb594f90f1535442e2e24607ed1280,205,64,0.312,2.81,0
0xc91bec283cb2ba834fc0411392594c9d9cbadfb4,844,99,0.117,4.01,1
0x7343330a2888d1d62bae7d8600df44631c388afa,784,20,0.026,4.09,1
0x559169b4aa999e23272a762396afaee77bf86df8,934,98,0.105,3.61,1
0xeded270197e4bc8b48eec5ec2b03864ca5c2fec4,37,12,0.324,4.27,0
0x4dc3bfc9ee1442eae79e699a00fa35cd0a21649a,52,56,1.077,3.91,0
0xa5f563c37fe453dab04e6ab95f979e95bb77aa46,507,48,0.095,4.2,1
0x03e9060d98874e170cdd2296c499ae1daadec60c,411,53,0.129,4.37,1
0x0ba63483546ccfa533d8db2ffab46d0b95ddf396,578,9,0.016,4.37,1
0x2409e134cb1cb02a57bbdb753e8fcc2764725357,732,52,0.071,4.71,1
0x486fbc0648db028c87a7e7683c875f7aef159bc0,809,43,0.053,4.24,1
0xae2514cba5b8a0a04e0be9757c4f52ce851859ba,103,46,0.447,3.67,0
0xf869a21e5e110f5e9484ed2959248f01ae33ca54,688,52,0.076,3.55,1
0xeef82a556db121ed88eb406bf354c42296611e2f,876,73,0.083,3.26,1
0x4ab20d5c226c86d1a481b36bb5c431972348d32f,730,45,0.062,4.11,1
0x17a7ee3c83401f833289f82b97247ef68fe060cb,991,12,0.012,4.92,1
0x086ee356186a8b29ef01c16cd067f642c5b2631e,551,36,0.065,3.75,1
0x0b0cf1c17e7deda79f88171b4603564033181c45,965,23,0.024,4.31,1
0x8acab8d58b0632cc9d2b60d5543a99a5beabc703,743,1,0.001,3.47,1
0x51955862bbb80d3072b7e47ccb427083d76cc9b2,617,85,0.138,4.14,1
0xa357f65ff2545c6578b9ada660b14a4296eef6a8,947,80,0.084,4.88,1
0xdd33760ee0faa4fa1e9bfdaecf5703c8d221847c,466,99,0.212,4.48,0
0x58ca69c6dd63338b9532f84d7ce7dd9600671e6a,647,13,0.02,2.9,0
0x55612933ef72662ec9c6d8af96251e3fba328540,773,9,0.012,4.4,1
0x77364035cff122995bc29939eef9adee7cd9c360,9,34,3.778,4.43,0
0x7dc73c3a9d88f17470203748b82b4e9a43957b0d,222,24,0.108,4.12,1
0x84bff8a23f7480116e501f1475ebf8ee7241a4b4,507,2,0.004,4.47,1
0x7d512c592500e2e1b37b694a43c0483113e3cd02,771,16,0.021,3.42,1
0xb3ecdf5079acf70ed1a52958df84cd7a91dfc95e,402,11,0.027,4.04,1
0x1b2c19e061f9e5082adab989aba22b30fa63ba2b,875,53,0.061,4.78,1
0x60d86a0ea89829d2d5ba7610809707a54a5f9b47,799,23,0.029,4.71,1
0x14d2c323c35ebd80df70992e42dc36f5d41d3fb7,397,28,0.071,4.38,1
0xcd24d34e534cf7a347105a9c7d1c6cda772fbe8c,211,42,0.199,3.38,1
0x187558a0bdd686dd35c7c7a3ce43bc197454c377,19,24,1.263,3.27,0
0x660de7326d7f7d39a20cd449db5e68ddcac65f07,862,99,0.115,4.08,1
0x6f1f86c61a52526183c2d2a282dcbee201622694,558,59,0.106,4.13,1
0x02619a349ea55da310c3c50a5dfd6d17bfc5ec26,896,89,0.099,3.93,1
0xe6a2230af1ef8aecd6d0df27b1b5001b7ef8d667,465,64,0.138,3.44,1
0xa3e45045774287e6f45be0bf05c2fe0eec691ec1,695,83,0.119,4.31,1
0x8fa0be12f2d5260d6f2632b8ba142584ad5ff511,579,27,0.047,4.08,1
0xd24aebfbdad24dfee73e7c3ab1f5788b75e6db80,868,15,0.017,4.2,1
0x55fc737d132aec54b3dd8d7e356222ea226e75e0,747,46,0.062,4.42,1
0x097a28c0013cf63024aa6e456f5f427625fe7f18,245,80,0.327,3.81,0
0xc5ee40f96da4ab411bb8077fbd314cacf614cf1a,568,91,0.16,3.66,1
0x40b0d82c49c55204b9db20e30d20694ec196b12e,100,57,0.57,4.78,0
0xe3d562fd8c780580129b0a4be37006eba767d90c,904,75,0.083,3.47,1
0x6b7f9eb353e69f8b747b08c7002cc7e55a7456fc,738,26,0.035,3.67,1
0x93e051dfd69450e373f46b3bd334f4a12acefd3a,489,52,0.106,4.86,1
0x54e6af9abe5793a1e7bd042eba85dd6d245ecc08,411,41,0.1,3.62,1
0x0d0eca24ec857f765626576a56dca8182a089e85,235,58,0.247,3.93,0
0x3854009bc1cfde570d6fbbe321bacc4216ecee9a,753,46,0.061,3.71,1
0xd830d94e29948d1172200634b303d428c4b9258d,659,93,0.141,2.75,0
0xfae6ca20e5f4d65fe440d66373c06a65ca75f1ae,175,33,0.189,3.91,1
0xd17a58cf6c99953bee70b8b29b3fbd7173bf08df,545,36,0.066,3.29,1
0x0185b1bfec93e5bd9c308457faf17598344a4aa9,40,5,0.125,4.18,1
0x1930412dfee23c596fa8527c68b86994e1df9f8e,529,6,0.011,4.77,1
0x4888d794f884dcda7a3667b1379bcbcac9730fda,164,95,0.579,2.45,0
0xb8f49894810d50262aff4ca0a4450e6144e1c417,843,95,0.113,3.72,1
0x5794bf0f4ebdcc3cbcd31eb222bab158e18ebc1a,703,24,0.034,4.32,1
0xb344946466a5ade8e5bfcf843ee737c96b66ea77,247,32,0.13,2.47,0
0x14a6bd4a9dc97d7ba2c11edd2858753bca3c164e,90,54,0.6,4.94,0
0x72bae974e52f94d01ba9d0002de7e0d9a911ee6a,800,57,0.071,4.27,1
0x09e2dbebe4b1355996e0ff8a34952d98ce501ba0,582,6,0.01,4.76,1
0x4ea8bff09f8128109b4ebfa8256b83c1333a57c5,686,56,0.082,3.61,1
0x122aaeab6ffbd48c48dcd2217c7da7fbc6daf2e0,561,11,0.02,3.69,1
0xf7ff3a9f499dbe28764debbb7b7d918904d6d950,578,15,0.026,3.89,1
0x670c0852272d553cba576c732a06bf26c9e6d76a,957,79,0.083,5,1
0xb9c6dc4c325a764e811a351a53c284c74aab060b,650,42,0.065,4.92,1
0xf71b9289d86eb5da17a02f2c7ed19b242dc6e9cc,800,99,0.124,4.09,1
0xe196dc9d0083cbdd23ccad3e7a0c674abc2bdbc7,32,76,2.375,4.18,0
0x1c4fa0bfe25040fb1feedae5411063577b91d32e,624,6,0.01,4.44,1
0xcf2dafc8aef68377da3a1831dba1a7b0a2456f70,560,99,0.177,5,1
0x0d94118125feb45a9261c0ec0a08df731843a0a1,344,50,0.145,4.27,1
0xd0d050c3909306e4bbf9793f3d5398f915ad4ca1,802,72,0.09,4.03,1
0x107500e359a0b32526f3d40aa80488d8fa22d6c9,962,31,0.032,3.76,1
0x3f0dab0ba438e536db817c1842289af7ec3f791a,335,74,0.221,4.16,0
0xc07a5c7489d20f8d6cfcb598ca21b4848871468e,644,7,0.011,3.59,1
0x757b42f679cb5a385d3194d3227e3694a08c3cbc,510,96,0.188,4.35,1
0xe627d36c0a246d438cbe0986b1808a555a7941f3,352,86,0.244,3,0
0xa1612bf8e3c199302cba33e3070c1b5846408d92,477,88,0.184,3.82,1
0x5611c7251400d9bced4e1d2676c716063bc9b24a,235,71,0.302,4.51,0
0x0f1fa56852854ef490ea673de1507302c4a02bf3,194,44,0.227,4.26,0
0x9e766865b4161a4d5793e2436308f1fdb3132e58,229,85,0.371,3.68,0
0xc367d27af4821a730d70f8da8516a15f2417889b,389,58,0.149,3.84,1
0xe1b2e174d65e451f75e02cf19c3e76dd4e21128b,381,3,0.008,4.72,1
0x0bcb536a700f8be3fb1fda96c4af18c539f99bb5,287,66,0.23,3.15,0
0xcc20a107b22ea9dc495cd29692d3ef81fe1ae61c,962,28,0.029,3.16,1
0x6b5ae132f375dad84f30cf57f43b22e431d478a5,637,28,0.044,3.35,1
0xca6bc1ddc1c1b1ac6ec3e938d81bba8287c031bd,632,97,0.153,3.99,1
0xe03f7bf4fcdf8ad753afaa59e53856ab4fe56947,977,97,0.099,3.05,1
0xf18189f85c2b30e7cd0862b63a4efb54a142a013,749,27,0.036,4.67,1
0x3ceaeec77978204fc2cf027e44a13cca47c50ad6,263,76,0.289,3.35,0
0xce11e679307cb139fd28b60b58ed8a97547b969c,363,78,0.215,4.16,0
0xe98b0c8b0f19e143170b79e2de0e43a41d30008b,714,86,0.12,3.59,1
0x94365000d042f9e6754c3167f706f64e9d13d0ba,460,43,0.093,3.95,1
0xb265db993efa3f37ffa9cce23efa32e226e12322,415,89,0.214,2.88,0
0x502e68d134bd15fcd92c7608766b861f95b22cf2,653,3,0.005,4.7,1
0x4c6338e8f9927e6238ee1ac01dee5dd37b38d07e,322,89,0.276,3.33,0
0x815fc9f4f11a5ad27cb49762453214169e001a64,681,8,0.012,3.25,1
0x1f114409a7255acec5341e1c006f7b5eafcc714c,229,4,0.017,5,1
0x034d3a726d4ba45ff328ae1573ab0784f95371dc,823,55,0.067,4.39,1
0x884bb77aabfff4e281db3aab1750d0370366a87a,238,95,0.399,4.67,0
0x1a8b384462c739e47896d1a1f0d3890822a98804,688,83,0.121,4.32,1
0x116bb50da321f07ef727ab9e16bdb2314b5a3633,668,49,0.073,3.68,1
0x689ea4bf121dd13118280d538060924ac8db5bc9,979,74,0.076,3.09,1
0x264e4790d227192fef072c8591a73334ff50aa39,831,14,0.017,3.79,1
0x5583891cffad9beb51436df17e8303be3adceb56,378,31,0.082,3.32,1
0x49f05ebfda9fc3b91e5c05eaa187a14cf97e9042,676,27,0.04,3.36,1
0x128d01659dbe0513f2f14caa3e912875b059211c,612,21,0.034,2.89,0
0x3d30e249ecfe082cf15e7b1a1b398950f44eb216,476,16,0.034,4.08,1
0xb53c4b1ac694cb4b01a3dfe39ecbba1738c43341,237,58,0.245,5,0
0x43b7cb1b844eccabf62cbff747a5f6962b9f1819,696,89,0.128,4.39,1
0x5047417c8973d7bec5de53066ce26e2143b0d8bb,117,70,0.598,3.93,0
0x8bd2e2cc01d44ca9648c087a71cce790c47eb3d8,834,56,0.067,3.97,1
0x742c0e96108789bd2e05eab3bd1c7574d3d8274b,501,25,0.05,1.87,0
0x0c2709010f888515b4a38cdd51dbb66459865eb1,446,24,0.054,3.7,1
0xe5905bcae9c75b9a78ad0687b71045676aefe660,568,9,0.016,3,1
0x5d047b0dad723356742735965e37a5fb6706c841,272,44,0.162,4.09,1
0x6f82bd10a2b69a4f6411a432a05d6334ae2ecf80,514,82,0.16,3.82,1
0x59bdf3d924ea3aa5a19f9857a687057ca871bcd3,811,10,0.012,3.39,1
0xb02f6b61f27d92cff3d0fc54c58be699ec943b82,390,76,0.195,4.08,1
0x27bd74ce6e97652f08c57de0ac370060e372f89a,391,52,0.133,4.07,1
0x62cea478c417bcb35b7cfa84dbf10cfaa648b761,117,71,0.607,5,0
0x4b2775ecace0d3f0d155fbb555ae1326f69df573,617,67,0.109,4.48,1
0x84ba64638de1e5bdc2ba0945c9399a4cd863967e,629,94,0.149,4.15,1
0xb9a6e84382e5dd4dff8d79df28e9fa96dc3d1da8,956,27,0.028,3.34,1
0x4e5315b3e9b8bd8fbd626714ca92d17abd0dbf78,85,74,0.871,3.25,0
0x4c3b7c6a8830079a02959581d89bcc340cdb8481,703,64,0.091,4.42,1
0x2814fcb12eaf8c4a28fe4f3cd76f878bfb10756e,117,48,0.41,3.86,0
0x7dd31c1046765bde2b557847cf287b02a4a19369,6,46,7.667,4.17,0
0x5ef740d7aa9a371f3725df2713923b326f10a36f,646,51,0.079,4.68,1
0xa1378d7faa3ee62f9bef92c6d8f9ff4e19e87e3c,224,87,0.388,2.94,0
0xe965d774fa4920519e2fccce9921a6469444b44d,570,53,0.093,4.98,1
0x33d4311183c70596d8458f78c0ae5cfe023dd341,859,59,0.069,4.68,1
0x8785d3d6863f2124185b88d02d363b64bbd6bfa7,740,56,0.076,2.56,0
0xee55079d22d0880f1ba2d9aaa33bcd146e66a27e,229,46,0.201,5,0
0xb3a454f4705a0365473763029d29b33dbdc8e6c1,389,30,0.077,4.22,1
0xed4b5ad5c03f82ddde6602fb775dae8d184fd21a,407,45,0.111,3.67,1
0x00e252ec843c843ce9921d46b7762f5d9034719b,642,25,0.039,4.36,1
0x536d520cd2ffbcb25335b6d7301a4f4a7950ae48,134,4,0.03,3.32,1
0xdc68a34e6c42b48c8fd1e8f1ca41c9451b3ab514,57,83,1.456,4.38,0
0xd5c3ec7bdc43d672129b75d47e317601c2eb38e7,688,51,0.074,3.44,1
0x5c583782e99bd76039cffc3df800af452c306392,734,74,0.101,5,1
0xf7147ec0d2e7b49fd1426e8446c1f2aa957c2f53,676,53,0.078,4.04,1
0xe52e47d9a3712339692bcf9cea99140bdf50fdff,714,32,0.045,4.45,1
0xad72ce60d7ab9be274c17ae3be0194a2ce90fbcd,420,49,0.117,3.45,1
0x2103df341a2d288c2a04f1e0e32a0f9d24810909,251,37,0.147,4.57,1
0xa1db5bfc91df8be250f477290fac2c9dd9aefcd7,840,26,0.031,3.99,1
0xf73a290f3aca61c08120d46661688139dfcd2f43,443,97,0.219,3.01,0
0x70b830d7ce70c50f569eb116c4c25b300d7be6bc,207,14,0.068,3.83,1
0x30560407038e0ab7cf0fa534b190eeb2bf879b22,188,95,0.505,5,0
0x985b5fe294e2fed5c17036ae901b065f6a936df0,127,60,0.472,4.6,0
0xfab61d8abd5184ecc16a0fd3327b0ece5a20299a,405,20,0.049,3.73,1
0x0bc98cb17e3840a82243491c00e6c55ee12580a9,771,45,0.058,2.69,0
0x8c264c427cf6147b701b10fb4d1876076e1547c6,298,68,0.228,3.42,0
0x5790b03a877fe2d39bb8414728f83211eee9e010,284,5,0.018,3.02,1
0xfe5e4e5c8392640fcf8de22f5179483b5b808b14,841,37,0.044,2.71,0
0xefa4dd280436949c679e944e95f6a1eda77c9be6,888,61,0.069,4.55,1
0xbb491a4ca50e32a951759a1c45131563e683a27f,614,85,0.138,4.04,1
0x97d47f36164f159b9667553af339296937a53c7d,202,61,0.302,5,0
0xd710b23f54a10406fb9a01c0a2687e040fefba0c,986,81,0.082,3.3,1
0x2d87662ce066cd1b7e531ae770b323ce310a7473,911,77,0.085,4,1
0x17d2fb824af069b82a6e1b2e96e04373b074d398,515,73,0.142,3.02,1
0x5f55ed73d0d11eddf8d8b17a9245670cd71ca4c3,756,45,0.06,3.58,1
0x5c8859a3ebd52588da819d65ff3669cb27b5a7fe,148,12,0.081,3.84,1
0xaca42705e3a9cbcd14ad5849b4b9e4d9658e0b48,613,94,0.153,3.74,1
0x7e0b73a4a9c9275dcd66f5c9b1c48881876edc4d,205,93,0.454,4.04,0
